,cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power,x,y,new_cellname,id,fo4_delay,fix_load_delay,group_id,libcell_id,size_class,size_class2,size_cnt
1286,dpath.a_reg.out\[3\]$_DFFE_PP_,1,0,1,2592,10530,3780,10800,0,0,0,DFFHQNx3_ASAP7_75t_R,2.1946877648559848e-10,5.782218977401499e-06,3186.0,10665.0,cell1286,2628,4.584456078648991e-11,4.7307990858058695e-11,44,84,0,0,3
1287,dpath.a_reg.out\[4\]$_DFFE_PP_,1,0,1,3996,12420,5184,12690,0,0,0,DFFHQNx3_ASAP7_75t_R,2.1946894301905215e-10,5.795467586722225e-06,4590.0,12555.0,cell1287,2629,4.584456078648991e-11,4.7307990858058695e-11,44,84,0,0,3
1288,dpath.a_reg.out\[5\]$_DFFE_PP_,1,0,1,5616,12960,6804,13230,0,0,0,DFFHQNx3_ASAP7_75t_R,2.1946906791914242e-10,5.779707407782553e-06,6210.0,13095.0,cell1288,2630,4.584456078648991e-11,4.7307990858058695e-11,44,84,0,0,3
1289,dpath.a_reg.out\[6\]$_DFFE_PP_,1,0,1,8586,13230,9774,13500,0,0,0,DFFHQNx3_ASAP7_75t_R,2.1946906791914242e-10,5.790276645711856e-06,9180.0,13365.0,cell1289,2631,4.584456078648991e-11,4.7307990858058695e-11,44,84,0,0,3
1290,dpath.a_reg.out\[7\]$_DFFE_PP_,1,0,1,10800,9450,11988,9720,0,0,0,DFFHQNx3_ASAP7_75t_R,2.199253140711121e-10,5.847708962392062e-06,11394.0,9585.0,cell1290,2632,4.584456078648991e-11,4.7307990858058695e-11,44,84,0,0,3
1291,dpath.a_reg.out\[8\]$_DFFE_PP_,1,0,1,8370,11880,9558,12150,0,0,0,DFFHQNx3_ASAP7_75t_R,2.1945588402072502e-10,5.7789752645476256e-06,8964.0,12015.0,cell1291,2633,4.584456078648991e-11,4.7307990858058695e-11,44,84,0,0,3
1292,dpath.a_reg.out\[9\]$_DFFE_PP_,1,0,1,11718,7290,12906,7560,0,0,0,DFFHQNx3_ASAP7_75t_R,2.199253279489e-10,5.8243199418939184e-06,12312.0,7425.0,cell1292,2634,4.584456078648991e-11,4.7307990858058695e-11,44,84,0,0,3
1293,dpath.b_reg.out\[0\]$_DFFE_PP_,1,0,1,3996,4860,5130,5130,0,0,0,DFFHQNx2_ASAP7_75t_R,1.7914177086186808e-10,5.402104761742521e-06,4563.0,4995.0,cell1293,2635,4.0202247780785066e-11,4.203940320857136e-11,44,83,1,38,3
1294,dpath.b_reg.out\[10\]$_DFFE_PP_,1,0,1,6426,7020,7560,7290,0,0,0,DFFHQNx2_ASAP7_75t_R,1.7914195127310959e-10,5.612118457065662e-06,6993.0,7155.0,cell1294,2636,4.0202247780785066e-11,4.203940320857136e-11,44,83,1,38,3
1295,dpath.b_reg.out\[11\]$_DFFE_PP_,1,0,1,7398,2700,8532,2970,0,0,0,DFFHQNx2_ASAP7_75t_R,1.7916185202082602e-10,5.615666850644629e-06,7965.0,2835.0,cell1295,2637,4.0202247780785066e-11,4.203940320857136e-11,44,83,1,38,3
1296,dpath.b_reg.out\[12\]$_DFFE_PP_,1,0,1,6264,2700,7398,2970,0,0,0,DFFHQNx2_ASAP7_75t_R,1.7912414607135219e-10,5.611746018985286e-06,6831.0,2835.0,cell1296,2638,4.0202247780785066e-11,4.203940320857136e-11,44,83,1,38,3
1297,dpath.b_reg.out\[13\]$_DFFE_PP_,1,0,1,11178,4860,12312,5130,0,0,0,DFFHQNx2_ASAP7_75t_R,1.7915938177459623e-10,5.625230642181123e-06,11745.0,4995.0,cell1297,2639,4.0202247780785066e-11,4.203940320857136e-11,44,83,1,38,3
1298,dpath.b_reg.out\[14\]$_DFFE_PP_,1,0,1,10638,3240,11772,3510,0,0,0,DFFHQNx2_ASAP7_75t_R,1.7915935401902059e-10,5.637300546368351e-06,11205.0,3375.0,cell1298,2640,4.0202247780785066e-11,4.203940320857136e-11,44,83,1,38,3
1299,dpath.b_reg.out\[15\]$_DFFE_PP_,1,0,1,10530,2160,11664,2430,0,0,0,DFFHQNx2_ASAP7_75t_R,1.7912413219356438e-10,5.685209089278942e-06,11097.0,2295.0,cell1299,2641,4.0202247780785066e-11,4.203940320857136e-11,44,83,1,38,3
1300,dpath.b_reg.out\[1\]$_DFFE_PP_,1,0,1,4752,7830,5886,8100,0,0,0,DFFHQNx2_ASAP7_75t_R,1.7916186589861383e-10,5.940612936683465e-06,5319.0,7965.0,cell1300,2642,4.0202247780785066e-11,4.203940320857136e-11,44,83,1,38,3
1301,dpath.b_reg.out\[2\]$_DFFE_PP_,1,0,1,3618,9450,4752,9720,0,0,0,DFFHQNx2_ASAP7_75t_R,1.791419096397462e-10,5.589128704741597e-06,4185.0,9585.0,cell1301,2643,4.0202247780785066e-11,4.203940320857136e-11,44,83,1,38,3
1302,dpath.b_reg.out\[3\]$_DFFE_PP_,1,0,1,3888,10530,5022,10800,0,0,0,DFFHQNx2_ASAP7_75t_R,1.7914195127310959e-10,5.572891495830845e-06,4455.0,10665.0,cell1302,2644,4.0202247780785066e-11,4.203940320857136e-11,44,83,1,38,3
1303,dpath.b_reg.out\[4\]$_DFFE_PP_,1,0,1,4806,11880,5940,12150,0,0,0,DFFHQNx2_ASAP7_75t_R,1.7914195127310959e-10,5.571531801251695e-06,5373.0,12015.0,cell1303,2645,4.0202247780785066e-11,4.203940320857136e-11,44,83,1,38,3
1304,dpath.b_reg.out\[5\]$_DFFE_PP_,1,0,1,6480,11880,7614,12150,0,0,0,DFFHQNx2_ASAP7_75t_R,1.7914195127310959e-10,5.670047812600387e-06,7047.0,12015.0,cell1304,2646,4.0202247780785066e-11,4.203940320857136e-11,44,83,1,38,3
1305,dpath.b_reg.out\[6\]$_DFFE_PP_,1,0,1,9828,12690,10962,12960,0,0,0,DFFHQNx2_ASAP7_75t_R,1.7914195127310959e-10,5.700128440366825e-06,10395.0,12825.0,cell1305,2647,4.0202247780785066e-11,4.203940320857136e-11,44,83,1,38,3
1306,dpath.b_reg.out\[7\]$_DFFE_PP_,1,0,1,11070,10260,12204,10530,0,0,0,DFFHQNx2_ASAP7_75t_R,1.7916185202082602e-10,5.68654195376439e-06,11637.0,10395.0,cell1306,2648,4.0202247780785066e-11,4.203940320857136e-11,44,83,1,38,3
1307,dpath.b_reg.out\[8\]$_DFFE_PP_,1,0,1,10044,11610,11178,11880,0,0,0,DFFHQNx2_ASAP7_75t_R,1.7914136840602168e-10,5.682091341441264e-06,10611.0,11745.0,cell1307,2649,4.0202247780785066e-11,4.203940320857136e-11,44,83,1,38,3
1308,dpath.b_reg.out\[9\]$_DFFE_PP_,1,0,1,11232,6480,12366,6750,0,0,0,DFFHQNx2_ASAP7_75t_R,1.7916182426525038e-10,5.742080702475505e-06,11799.0,6615.0,cell1308,2650,4.0202247780785066e-11,4.203940320857136e-11,44,83,1,38,3
1309,input1,0,0,0,1242,5400,1512,5670,0,1,0,BUFx2_ASAP7_75t_R,4.348925039532325e-11,2.336402360469947e-07,1377.0,5535.0,cell1309,2651,1.3086750433322079e-11,1.3743286890466331e-11,36,59,9,45,16
1310,input10,0,0,0,1836,8640,2106,8910,0,1,0,BUFx2_ASAP7_75t_R,4.348925039532325e-11,2.209027485378101e-07,1971.0,8775.0,cell1310,2652,1.3086750433322079e-11,1.3743286890466331e-11,36,59,9,45,16
1311,input11,0,0,0,1620,10800,1890,11070,0,1,0,BUFx2_ASAP7_75t_R,4.348925039532325e-11,2.251326947089183e-07,1755.0,10935.0,cell1311,2653,1.3086750433322079e-11,1.3743286890466331e-11,36,59,9,45,16
1312,input12,0,0,0,1998,7560,2268,7830,0,1,0,BUFx2_ASAP7_75t_R,4.348925039532325e-11,2.3267784854397178e-07,2133.0,7695.0,cell1312,2654,1.3086750433322079e-11,1.3743286890466331e-11,36,59,9,45,16
1313,input13,0,0,0,5130,14850,5400,15120,0,1,0,BUFx2_ASAP7_75t_R,4.348925039532325e-11,2.211048553135697e-07,5265.0,14985.0,cell1313,2655,1.3086750433322079e-11,1.3743286890466331e-11,36,59,9,45,16
1314,input14,0,0,0,6804,14580,7074,14850,0,1,0,BUFx2_ASAP7_75t_R,4.348925039532325e-11,2.1864399002424761e-07,6939.0,14715.0,cell1314,2656,1.3086750433322079e-11,1.3743286890466331e-11,36,59,9,45,16
1315,input15,0,0,0,7992,14580,8262,14850,0,1,0,BUFx2_ASAP7_75t_R,4.348925039532325e-11,2.1583139186986958e-07,8127.0,14715.0,cell1315,2657,1.3086750433322079e-11,1.3743286890466331e-11,36,59,9,45,16
